Question1;Question2;Question3;Question4;Question5;Question6;Question7;Question8;House
Stars;The Great;Tabby cat;Fresh parchment;The cobbled street lined with ancient buildings;Loneliness;Hexes and jinxes;White;Hufflepuff
River;All about magical creatures, and how to befriend/care for them;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Natterjack toad;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Think with admiration of your achievements;Black;Hufflepuff
River;An eye at the keyhole of the dark, windowless room in which you are locked.;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;The power to change your appearance at will;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Tawny owl;Heads;Gryffindor
Dawn;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Natterjack toad;Ghosts;The Bold;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Envied?;Heads;Ravenclaw
Moon;Suggest that all three of you should fight (without telling the troll)?;The drum;Think with admiration of your achievements;Brown owl;The power of invisibility;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Heads;Ravenclaw
Dusk;Every area of magic I can;Screech owl;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Power?;Boredom;The bubbling pool, in the depths of which something luminous is swirling;Tails;Slytherin
Dawn;Three toed tree toad;The Good;Being ignored;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;The power to speak to animals;Home;Heads;Ravenclaw
Forest;Flying on a broomstick;The Good;Tawny owl;Imitated?;The sea;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Heads;Ravenclaw
Moon;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The piano;Trolls;Ignorant;Snowy owl;Tails;Slytherin
Dusk;White cat;The statue of an old wizard with a strangely twinkling eye;Secrets about the castle;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Envied?;Selfish;Heads;Hufflepuff
Dawn;Boredom;Cowardly;The cobbled street lined with ancient buildings;The power of invisibility;The drum;Dragon toad;Black;Gryffindor
River;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The statue of an old wizard with a strangely twinkling eye;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Tawny owl;Wisdom?;Goblins;Black;Gryffindor
River;The statue of an old wizard with a strangely twinkling eye;Cold;An eye at the keyhole of the dark, windowless room in which you are locked.;Wisdom?;Trolls;Dragon toad;Left;Slytherin
Forest;Draw your wand and stand your ground?;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Werewolves;Ignorant;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Dragon toad;White;Gryffindor
Dusk;Home;Ginger cat;The Great;Waking up to find that neither your friends nor your family have any idea who you are.;The power to change your appearance at will;Boredom;White;Hufflepuff
Stars;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Liked?;An eye at the keyhole of the dark, windowless room in which you are locked.;Tabby cat;Secrets about the castle;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Right;Gryffindor
Moon;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Snowy owl;The Great;The power to read minds;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Imitated?;Heads;Ravenclaw
Dawn;The silver leafed tree bearing golden apples;Goblins;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Ignorant;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Tabby cat;Left;Ravenclaw
Stars;Home;Ghosts;Ignorant;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Tabby cat;Waking up to find that neither your friends nor your family have any idea who you are.;Right;Hufflepuff
Stars;The narrow, dark, lantern-lit alley;The sea;Dragon toad;Praised?;Ignorant;Secrets about the castle;Black;Gryffindor
Forest;Wisdom?;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Black cat;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Apparition and Disapparition (being able to materialize and dematerialize at will);Agree, and walk away, leaving them to wonder whether you are bluffing?;Black;Slytherin
Dawn;Envied?;The fat red toadstools that appear to be talking to each other;Power?;Draw your wand and stand your ground?;Dragon toad;Secrets about the castle;Right;Gryffindor
Moon;Love?;Trusted?;Common toad;Merpeople;The trumpet;Agree, and ask whether they'd like a free sample of a jinx?;Tails;Hufflepuff
Dawn;The power to change your appearance at will;Ask what makes them think so?;Cold;Fresh parchment;Ignorant;Snowy owl;Left;Ravenclaw
Moon;Flying on a broomstick;Loneliness;Dragon toad;The cobbled street lined with ancient buildings;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Selfish;Left;Gryffindor
Stars;The Great;Barn owl;Boredom;Fresh parchment;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;The power to read minds;Left;Slytherin
Dawn;Liked?;Screech owl;The wide, sunny, grassy lane;Trolls;Ask for more stories about your adventures;The piano;Black;Gryffindor
Moon;The Good;Werewolves;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Volunteer to fight?;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Tabby cat;Right;Gryffindor
Dusk;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;The piano;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Miss you, but smile;The power to change the past;Common toad;Tails;Hufflepuff
Dusk;Being ignored;Harlequin toad;The power of superhuman strength;The bubbling pool, in the depths of which something luminous is swirling;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Left;Slytherin
River;The Bold;The narrow, dark, lantern-lit alley;The fat red toadstools that appear to be talking to each other;Tawny owl;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Transfiguration (turning one object into another object);Black;Gryffindor
Forest;Ghosts;White cat;The narrow, dark, lantern-lit alley;The Great;Boredom;The silver leafed tree bearing golden apples;Heads;Ravenclaw
Dawn;Transfiguration (turning one object into another object);Tell them that you are worried about their mental health, and offer to call a doctor.;Snowy owl;Love?;Fresh parchment;Trusted?;Right;Hufflepuff
Moon;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Screech owl;Ask for more stories about your adventures;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Flying on a broomstick;The silver leafed tree bearing golden apples;Black;Ravenclaw
Moon;Trolls;Loneliness;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Wisdom?;Siamese cat;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Right;Ravenclaw
Stars;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Flying on a broomstick;Tawny owl;The sea;Praised?;Ignorant;Right;Gryffindor
Forest;Fresh parchment;Tawny owl;The Good;Goblins;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The twisting, leaf-strewn path through woods;White;Ravenclaw
Stars;Tell them that you are worried about their mental health, and offer to call a doctor.;Trolls;Dragon toad;Think with admiration of your achievements;Hunger;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Left;Hufflepuff
Moon;Trusted?;Ask what makes them think so?;Miss you, but smile;Fresh parchment;Ghosts;Ginger cat;Heads;Ravenclaw
Dusk;Tawny owl;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;The statue of an old wizard with a strangely twinkling eye;Selfish;The power to change the past;Boredom;Heads;Slytherin
Forest;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Hexes and jinxes;The silver leafed tree bearing golden apples;White cat;The Good;Imitated?;Tails;Ravenclaw
Forest;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Ghosts;Agree, and ask whether they'd like a free sample of a jinx?;Black cat;Home;Black;Slytherin
Stars;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Suggest drawing lots to decide which of you will fight?;The bubbling pool, in the depths of which something luminous is swirling;The power of invisibility;Barn owl;Selfish;White;Hufflepuff
Moon;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Merpeople;Ignorant;Brown owl;The statue of an old wizard with a strangely twinkling eye;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Black;Ravenclaw
River;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Suggest that all three of you should fight (without telling the troll)?;Centaurs;Natterjack toad;Wisdom?;Trusted?;Left;Ravenclaw
Dusk;Barn owl;Praised?;The trumpet;Centaurs;Attempt to confuse the troll into letting all three of you pass without fighting?;The Wise;Tails;Ravenclaw
Dusk;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Hunger;The statue of an old wizard with a strangely twinkling eye;Draw your wand and stand your ground?;All about magical creatures, and how to befriend/care for them;Common toad;White;Hufflepuff
Moon;Tabby cat;Secrets about the castle;Miss you, but smile;The statue of an old wizard with a strangely twinkling eye;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Black;Gryffindor
River;Ask for more stories about your adventures;The power of invisibility;The ornate golden casket, standing on clawed feet, whose inscription warns that both secret knowledge and unbearable temptation lie within.;Praised?;Snowy owl;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Heads;Ravenclaw
Dawn;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Black cat;The power of superhuman strength;Home;The Wise;Heads;Hufflepuff
Moon;The sea;Secrets about the castle;The Great;Siamese cat;Imitated?;The twisting, leaf-strewn path through woods;Heads;Slytherin
Dusk;White cat;Trolls;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Power?;Tails;Slytherin
Dusk;The power to read minds;The bubbling pool, in the depths of which something luminous is swirling;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Ginger cat;Loneliness;Ask for more stories about your adventures;White;Slytherin
Dusk;Draw your wand and try to discover the source of the noise?;Ask for more stories about your adventures;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Black cat;Hexes and jinxes;Liked?;White;Hufflepuff
Stars;Snowy owl;Ask for more stories about your adventures;Goblins;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Ask what makes them think so?;The drum;Left;Ravenclaw
Dusk;Think with admiration of your achievements;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Dragon toad;Hexes and jinxes;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Right;Hufflepuff
Moon;The sea;Draw your wand and try to discover the source of the noise?;The power of invisibility;Cold;Love?;Black cat;Black;Slytherin
Moon;Wisdom?;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Ginger cat;Goblins;Imitated?;Left;Ravenclaw
Stars;Ordinary;Agree, and ask whether they'd like a free sample of a jinx?;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;The power of superhuman strength;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Common toad;White;Hufflepuff
Forest;Attempt to confuse the troll into letting all three of you pass without fighting?;Tawny owl;The drum;Trusted?;The power to change the past;The Great;Right;Gryffindor
Forest;Liked?;Power?;The violin;All about magical creatures, and how to befriend/care for them;Dragon toad;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;Black;Slytherin
Forest;The Wise;Apparition and Disapparition (being able to materialize and dematerialize at will);Fresh parchment;Ginger cat;Draw your wand and try to discover the source of the noise?;Loneliness;Tails;Gryffindor
Dawn;Natterjack toad;Trusted?;Centaurs;The wide, sunny, grassy lane;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Glory?;Left;Gryffindor
Forest;Screech owl;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;The power to change your appearance at will;Boredom;The Bold;Heads;Ravenclaw
Moon;Harlequin toad;Flying on a broomstick;The bubbling pool, in the depths of which something luminous is swirling;Boredom;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Wisdom?;Heads;Gryffindor
Forest;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;Vampires;Three toed tree toad;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The cobbled street lined with ancient buildings;Wisdom?;Right;Ravenclaw
River;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Ghosts;Cowardly;Ginger cat;The bubbling pool, in the depths of which something luminous is swirling;White;Gryffindor
Forest;The Bold;Being ignored;Vampires;The twisting, leaf-strewn path through woods;The drum;Brown owl;Right;Gryffindor
Stars;Cold;Black cat;The power to change your appearance at will;An eye at the keyhole of the dark, windowless room in which you are locked.;The silver leafed tree bearing golden apples;The Wise;White;Ravenclaw
Dawn;Imitated?;The power of invisibility;Tabby cat;The sea;Love?;Agree, and walk away, leaving them to wonder whether you are bluffing?;Heads;Gryffindor
Moon;Common toad;Transfiguration (turning one object into another object);Envied?;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;The violin;Power?;Heads;Ravenclaw
River;Wisdom?;The silver leafed tree bearing golden apples;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The narrow, dark, lantern-lit alley;Vampires;Brown owl;Right;Hufflepuff
River;The bubbling pool, in the depths of which something luminous is swirling;Attempt to confuse the troll into letting all three of you pass without fighting?;The Good;The power to read minds;Snowy owl;Loneliness;Heads;Hufflepuff
Dusk;The power of superhuman strength;Suggest that all three of you should fight (without telling the troll)?;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;The statue of an old wizard with a strangely twinkling eye;Tawny owl;Right;Slytherin
Forest;The twisting, leaf-strewn path through woods;Flying on a broomstick;The drum;Loneliness;Love?;Black cat;Tails;Gryffindor
River;Praised?;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;The power of superhuman strength;Brown owl;The fat red toadstools that appear to be talking to each other;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Black;Slytherin
Dawn;Goblins;Ignorant;Loneliness;The narrow, dark, lantern-lit alley;Black cat;The sea;Right;Slytherin
Dusk;The violin;Agree, and ask whether they'd like a free sample of a jinx?;Flying on a broomstick;Cowardly;Barn owl;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Right;Slytherin
Forest;Praised?;Goblins;Miss you, but smile;Dragon toad;The sea;Tell them that you are worried about their mental health, and offer to call a doctor.;Left;Ravenclaw
Stars;Common toad;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Hunger;Cowardly;All about magical creatures, and how to befriend/care for them;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Black;Hufflepuff
